,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0,4s,6s,Team Name
0,V Kohli,2008-2023,237,229,34,7263,113,37.24,5586,130.02,7,50,10,643,234,RCB
1,S Dhawan,2008-2023,217,216,29,6617,106,35.38,5203,127.17,2,50,11,750,148,DC/MI/PBKS/SRH
2,DA Warner,2009-2023,176,176,22,6397,126,41.53,4572,139.91,4,61,11,646,226,DC/SRH
3,RG Sharma,2008-2023,243,238,28,6211,109,29.57,4776,130.04,1,42,16,554,257,DC/MI
4,SK Raina,2008-2021,205,200,30,5528,100,32.51,4043,136.73,1,39,8,506,203,CSK/GL
5,AB de Villiers,2008-2021,184,170,40,5162,133,39.7,3403,151.68,3,40,10,413,251,DC/RCB
6,MS Dhoni,2008-2023,250,218,87,5082,84,38.79,3739,135.91,0,24,5,349,239,CSK/RPS
7,CH Gayle,2009-2021,142,141,16,4965,175,39.72,3333,148.96,6,31,8,404,357,KKR/KXIP/PBKS/RCB
8,RV Uthappa,2008-2022,205,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182,CSK/KKR/MI/PWI/RCB/RR
9,KD Karthik,2008-2023,242,221,46,4516,97,25.8,3403,132.7,0,20,17,439,139,DC/GL/KKR/KXIP/MI/RCB
10,AM Rahane,2008-2023,172,159,17,4400,105,30.98,3565,123.42,2,30,13,455,96,CSK/DC/KKR/MI/RPS/RR
11,AT Rayudu,2010-2023,204,187,33,4348,100,28.23,3409,127.54,1,22,14,359,173,CSK/MI
12,G Gambhir,2008-2018,154,152,16,4217,93,31.0,3404,123.88,0,36,12,492,59,DC/KKR
13,KL Rahul,2013-2023,118,109,20,4163,132,46.77,3097,134.42,4,33,4,355,168,KXIP/LSG/PBKS/RCB/SRH
14,F du Plessis,2012-2023,130,123,11,4133,96,36.9,3081,134.14,0,33,7,374,145,CSK/RCB/RPS
15,SV Samson,2013-2023,152,148,15,3888,119,29.23,2834,137.19,3,20,10,304,182,DC/RR
16,SR Watson,2008-2020,145,141,16,3874,117,30.99,2809,137.91,4,21,7,375,190,CSK/RCB/RR
17,MK Pandey,2008-2023,170,158,27,3808,114,29.06,3148,120.96,1,22,14,333,108,DC/KKR/LSG/MI/PWI/RCB/SRH
18,KA Pollard,2010-2022,189,171,52,3412,87,28.67,2316,147.32,0,16,5,218,223,MI
19,SA Yadav,2012-2023,139,124,22,3249,103,31.85,2267,143.31,1,21,7,349,112,KKR/MI
20,JC Buttler,2016-2023,96,95,10,3223,124,37.91,2173,148.32,5,19,6,319,149,MI/RR
21,YK Pathan,2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158,KKR/RR/SRH
22,Q de Kock,2013-2023,96,96,6,2907,140,32.3,2166,134.21,2,20,3,287,114,DC/LSG/MI/RCB/SRH
23,BB McCullum,2008-2018,109,109,5,2880,158,27.69,2186,131.74,2,13,6,293,130,CSK/GL/KKR/Kochi/RCB
24,PA Patel,2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49,CSK/DC/Kochi/MI/RCB/SRH
25,RR Pant,2016-2022,98,97,15,2838,128,34.6,1918,147.96,1,15,4,260,129,DC
26,WP Saha,2008-2023,161,136,24,2798,115,24.98,2185,128.05,1,13,7,278,84,CSK/GT/KKR/KXIP/SRH
27,Shubman Gill,2018-2023,91,88,14,2790,129,37.7,2081,134.07,3,18,4,273,80,GT/KKR
28,SS Iyer,2015-2022,101,101,13,2776,96,31.54,2214,125.38,0,19,5,237,99,DC/KKR
29,Yuvraj Singh,2008-2019,132,126,15,2750,83,24.77,2120,129.71,0,13,4,217,149,DC/KXIP/MI/PWI/RCB/SRH
30,V Sehwag,2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106,DC/KXIP
31,GJ Maxwell,2012-2023,124,120,17,2719,95,26.39,1725,157.62,0,18,14,226,158,DC/KXIP/MI/RCB
32,DA Miller,2012-2023,121,115,40,2714,101,36.18,1961,138.39,1,12,4,187,126,GT/KXIP/RR
33,RA Jadeja,2008-2023,226,173,71,2692,62,26.39,2093,128.61,0,2,8,193,99,CSK/GL/Kochi/RR
34,M Vijay,2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91,CSK/DC/KXIP
35,MA Agarwal,2011-2023,123,117,4,2597,106,22.98,1943,133.65,1,13,7,255,97,DC/KXIP/PBKS/RCB/RPS/SRH
36,N Rana,2016-2023,105,99,9,2594,87,28.82,1918,135.24,0,18,7,229,131,KKR/MI
37,SPD Smith,2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60,DC/PWI/RPS/RR
38,SE Marsh,2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78,KXIP
39,JH Kallis,2008-2014,98,96,11,2427,89,28.55,2222,109.22,0,17,9,255,44,KKR/RCB
40,DR Smith,2008-2017,91,89,5,2385,87,28.39,1764,135.2,0,17,8,245,117,CSK/DC/GL/MI
41,SR Tendulkar,2008-2013,78,78,11,2334,100,34.83,1948,119.81,1,13,4,295,29,MI
42,Ishan Kishan,2016-2023,91,85,6,2324,99,29.41,1731,134.25,0,15,6,220,103,GL/MI
43,HH Pandya,2015-2023,123,115,39,2309,91,30.38,1583,145.86,0,10,5,172,125,GT/MI
44,AD Russell,2012-2023,112,96,18,2262,88,29.0,1300,174.0,0,10,5,150,193,DC/KKR
45,R Dravid,2008-2013,89,82,5,2174,75,28.23,1882,115.51,0,11,3,268,28,RCB/RR
46,KS Williamson,2015-2023,77,75,17,2101,89,36.22,1667,126.03,0,18,2,181,64,GT/SRH
47,AJ Finch,2010-2022,92,90,7,2091,88,25.19,1631,128.2,0,15,8,214,78,DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH
48,RA Tripathi,2017-2023,89,87,11,2071,93,27.25,1490,138.99,0,11,4,205,78,KKR/RPS/RR/SRH
49,AC Gilchrist,2008-2013,80,80,4,2069,109,27.22,1495,138.39,2,11,7,239,92,DC/KXIP
50,JP Duminy,2009-2018,83,77,26,2029,78,39.78,1636,124.02,0,14,1,126,79,DC/MI
51,MEK Hussey,2008-2015,59,58,7,1977,116,38.76,1612,122.64,1,15,1,198,52,CSK/MI
52,DPMD Jayawardene,2008-2013,80,78,15,1802,110,28.6,1462,123.25,1,10,2,200,39,DC/Kochi/KXIP
53,RD Gaikwad,2020-2023,52,51,5,1797,101,39.06,1326,135.52,1,14,4,159,73,CSK
54,Mandeep Singh,2010-2023,111,98,16,1706,77,20.8,1388,122.91,0,6,15,176,38,DC/KKR/KXIP/PBKS/RCB
55,MK Tiwary,2008-2018,98,85,26,1695,75,28.72,1449,116.97,0,7,8,156,40,DC/KKR/KXIP/RPS
56,PP Shaw,2018-2023,71,71,0,1694,99,23.85,1162,145.78,0,13,7,208,56,DC
57,KC Sangakkara,2008-2013,71,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27,DC/KXIP/SRH
58,DJ Bravo,2008-2022,161,113,44,1560,70,22.6,1204,129.56,0,5,5,120,66,CSK/GL/MI
59,NV Ojha,2009-2018,113,94,19,1554,94,20.72,1313,118.35,0,6,8,121,79,DC/RR/SRH
